PD1,PD2
2.047912999999999872e+00,-1.622030000000000138e-01
2.028382000000000129e+00,-1.731900000000000106e-01
2.024414000000000158e+00,-1.582359999999999878e-01
2.023499000000000159e+00,-1.564049999999999885e-01
2.061341000000000090e+00,-1.527429999999999899e-01
2.050050000000000150e+00,-1.463339999999999919e-01
2.051880999999999844e+00,-1.423669999999999936e-01
2.044556000000000040e+00,-1.319909999999999972e-01
2.045167000000000179e+00,-1.155110000000000026e-01
2.039063000000000070e+00,-1.258869999999999989e-01
2.047912999999999872e+00,-1.216139999999999999e-01
2.037231999999999932e+00,-1.121540000000000037e-01
2.063171999999999784e+00,-1.341269999999999962e-01
2.048829000000000011e+00,-1.240559999999999996e-01
2.062561999999999784e+00,-1.219200000000000006e-01
2.055848000000000120e+00,-1.506069999999999909e-01
2.056153000000000119e+00,-1.289389999999999981e-01
2.077821000000000140e+00,-1.109330000000000038e-01
2.046997999999999873e+00,-1.225300000000000000e-01
2.055238000000000120e+00,-1.228349999999999997e-01
2.056763999999999815e+00,-1.118490000000000040e-01
2.052795999999999843e+00,-1.155110000000000026e-01
2.064392999999999923e+00,-1.106280000000000041e-01
2.065919000000000061e+00,-1.020829999999999932e-01
2.051880999999999844e+00,-1.200890000000000013e-01
2.054626999999999981e+00,-1.170370000000000021e-01
2.085144999999999804e+00,-1.463339999999999919e-01
2.073243000000000169e+00,-1.524379999999999902e-01
2.057983999999999813e+00,-1.191730000000000012e-01
2.079651999999999834e+00,-1.228349999999999997e-01
2.061036000000000090e+00,-1.060500000000000054e-01
2.074463999999999864e+00,-1.228349999999999997e-01
2.077516000000000140e+00,-1.014720000000000066e-01
2.079346999999999834e+00,-1.286339999999999983e-01
2.069885999999999893e+00,-1.197830000000000006e-01
2.070497000000000032e+00,-9.079099999999999671e-02
2.073853999999999864e+00,-1.149000000000000021e-01
2.082704000000000111e+00,-1.222250000000000003e-01
2.090638999999999914e+00,-1.387049999999999950e-01
2.080872999999999973e+00,-1.268019999999999980e-01
2.094606000000000190e+00,-1.142900000000000027e-01
2.086060999999999943e+00,-1.237509999999999999e-01
2.070802000000000032e+00,-1.222250000000000003e-01
2.093690000000000051e+00,-1.152060000000000028e-01
2.077211000000000141e+00,-1.335159999999999958e-01
2.067445000000000199e+00,-1.530479999999999896e-01
2.077821000000000140e+00,-1.728850000000000109e-01
2.091248999999999914e+00,-1.542689999999999895e-01
2.080261999999999833e+00,-1.582359999999999878e-01
2.042114999999999903e+00,-1.741050000000000098e-01
2.068970999999999894e+00,-1.640340000000000131e-01
2.079651999999999834e+00,-1.774620000000000086e-01
2.078126000000000140e+00,-1.576259999999999883e-01
2.078736999999999835e+00,-1.780730000000000091e-01
2.066835000000000200e+00,-2.000460000000000016e-01
2.083314000000000110e+00,-1.820400000000000074e-01
2.067140000000000200e+00,-1.826500000000000068e-01
2.060731000000000090e+00,-1.805140000000000078e-01
2.060731000000000090e+00,-1.570149999999999879e-01
2.072633000000000170e+00,-1.683070000000000122e-01
2.081787999999999972e+00,-1.878390000000000060e-01
2.067140000000000200e+00,-1.829560000000000075e-01
2.061951999999999785e+00,-2.226289999999999936e-01
2.058288999999999813e+00,-2.131689999999999974e-01
2.038453000000000070e+00,-2.134739999999999971e-01
2.084839999999999804e+00,-2.174409999999999954e-01
2.039979000000000209e+00,-2.159149999999999958e-01
2.064697999999999922e+00,-2.030980000000000008e-01
2.061341000000000090e+00,-2.006560000000000010e-01
2.044556000000000040e+00,-1.918060000000000043e-01
2.025634999999999852e+00,-2.174409999999999954e-01
2.049439000000000011e+00,-2.369729999999999892e-01
2.040589000000000208e+00,-2.229339999999999933e-01
2.047302999999999873e+00,-2.409399999999999875e-01
2.050965000000000149e+00,-2.464330000000000132e-01
2.031433999999999962e+00,-2.326999999999999902e-01
2.020751999999999882e+00,-2.351419999999999899e-01
2.026245999999999992e+00,-2.583349999999999813e-01
2.016175000000000050e+00,-2.583349999999999813e-01
2.043336000000000041e+00,-2.458230000000000137e-01
2.032348999999999961e+00,-2.610819999999999808e-01
2.025024999999999853e+00,-2.391089999999999882e-01
2.028687000000000129e+00,-2.406349999999999878e-01
2.022278000000000020e+00,-2.500950000000000117e-01
2.014343000000000217e+00,-2.656600000000000072e-01
2.024719999999999853e+00,-2.430759999999999865e-01
2.011902000000000079e+00,-2.223239999999999938e-01
2.002136000000000138e+00,-2.317849999999999910e-01
2.023804000000000158e+00,-2.375829999999999886e-01
2.001526000000000138e+00,-2.497900000000000120e-01
2.025939999999999852e+00,-2.195769999999999944e-01
2.015868999999999911e+00,-2.296479999999999910e-01
2.010680999999999941e+00,-2.174409999999999954e-01
2.016785000000000050e+00,-2.088959999999999984e-01
2.017090000000000050e+00,-1.979100000000000026e-01
2.004577999999999971e+00,-2.027920000000000000e-01
1.997252999999999945e+00,-1.881440000000000057e-01
2.002136000000000138e+00,-1.823450000000000071e-01
1.995117000000000029e+00,-1.866180000000000061e-01
2.002441000000000138e+00,-1.899750000000000050e-01
1.993895999999999891e+00,-1.588459999999999872e-01
1.968871999999999955e+00,-1.933320000000000038e-01
2.002441000000000138e+00,-1.860070000000000057e-01
1.988707999999999920e+00,-2.009610000000000007e-01
2.022278000000000020e+00,-2.018770000000000009e-01
1.974974999999999925e+00,-1.924160000000000037e-01
1.995422000000000029e+00,-2.098119999999999985e-01
1.993285999999999891e+00,-2.220189999999999941e-01
1.977416999999999980e+00,-2.342259999999999898e-01
2.006714000000000109e+00,-2.278169999999999917e-01
1.977721999999999980e+00,-2.180509999999999948e-01
2.003356999999999832e+00,-2.290379999999999916e-01
2.004882999999999971e+00,-2.302589999999999915e-01
2.000000000000000000e+00,-2.360569999999999891e-01
1.982604999999999951e+00,-2.497900000000000120e-01
2.006409000000000109e+00,-2.491800000000000126e-01
2.000305000000000000e+00,-2.278169999999999917e-01
1.996642999999999946e+00,-2.125579999999999969e-01
2.001526000000000138e+00,-1.957730000000000026e-01
2.014038000000000217e+00,-1.976040000000000019e-01
2.021668000000000021e+00,-1.924160000000000037e-01
1.999084000000000083e+00,-1.811250000000000082e-01
1.990844999999999976e+00,-1.823450000000000071e-01
1.993285999999999891e+00,-1.701380000000000114e-01
1.999695000000000000e+00,-1.686120000000000119e-01
2.015258999999999912e+00,-1.625089999999999868e-01
1.996642999999999946e+00,-1.756310000000000093e-01
1.993590999999999891e+00,-1.722740000000000105e-01
2.013123000000000218e+00,-1.957730000000000026e-01
2.003661999999999832e+00,-1.908900000000000041e-01
1.997559000000000085e+00,-2.046229999999999993e-01
2.008849999999999802e+00,-1.902800000000000047e-01
1.979247999999999896e+00,-2.034030000000000005e-01
2.015563999999999911e+00,-2.088959999999999984e-01
2.002136000000000138e+00,-2.265959999999999919e-01
2.012512000000000079e+00,-2.046229999999999993e-01
2.001831000000000138e+00,-2.058439999999999992e-01
2.033265000000000100e+00,-2.006560000000000010e-01
1.993895999999999891e+00,-2.113369999999999971e-01
2.023194000000000159e+00,-2.113369999999999971e-01
1.999390000000000001e+00,-1.738000000000000100e-01
2.021056999999999881e+00,-1.966890000000000027e-01
2.004577999999999971e+00,-1.753260000000000096e-01
2.037841999999999931e+00,-1.774620000000000086e-01
2.025634999999999852e+00,-1.615929999999999866e-01
1.998169000000000084e+00,-1.609829999999999872e-01
2.018006000000000189e+00,-1.695280000000000120e-01
2.008239999999999803e+00,-1.438929999999999931e-01
1.997252999999999945e+00,-1.353479999999999961e-01
2.001221000000000139e+00,-1.652550000000000130e-01
2.022889000000000159e+00,-1.414509999999999934e-01
2.027465999999999990e+00,-1.509119999999999906e-01
2.031127999999999822e+00,-1.481649999999999912e-01
2.020751999999999882e+00,-1.567099999999999882e-01
2.027160999999999991e+00,-1.579309999999999881e-01
2.036315999999999793e+00,-1.219200000000000006e-01
2.009154999999999802e+00,-1.353479999999999961e-01
2.021668000000000021e+00,-1.264969999999999983e-01
2.028077000000000130e+00,-1.249709999999999988e-01
2.019836999999999883e+00,-1.292439999999999978e-01
2.029907999999999824e+00,-1.368729999999999947e-01
2.047302999999999873e+00,-1.332109999999999961e-01
2.036926999999999932e+00,-1.255819999999999992e-01
2.038148000000000071e+00,-1.399249999999999938e-01
2.042419999999999902e+00,-1.460289999999999921e-01
2.034485000000000099e+00,-1.472499999999999920e-01
2.046387000000000178e+00,-1.527429999999999899e-01
2.033875000000000099e+00,-1.466389999999999916e-01
2.053711999999999982e+00,-1.545739999999999892e-01
2.044556000000000040e+00,-1.332109999999999961e-01
2.036315999999999793e+00,-1.365679999999999950e-01
2.060121000000000091e+00,-1.264969999999999983e-01
2.061341000000000090e+00,-1.158160000000000023e-01
2.035095999999999794e+00,-1.066610000000000058e-01
2.024109000000000158e+00,-1.087970000000000048e-01
2.052490999999999843e+00,-9.780999999999999417e-02
2.043946000000000041e+00,-1.029980000000000062e-01
2.054321999999999981e+00,-1.161210000000000020e-01
2.028077000000000130e+00,-1.249709999999999988e-01
2.081482999999999972e+00,-1.210040000000000004e-01
2.061646000000000090e+00,-1.167320000000000024e-01
2.065919000000000061e+00,-1.283279999999999976e-01
2.050965000000000149e+00,-1.313799999999999968e-01
2.068360000000000198e+00,-1.158160000000000023e-01
2.050660000000000149e+00,-1.142900000000000027e-01
2.051575000000000149e+00,-1.213090000000000002e-01
2.047912999999999872e+00,-1.280229999999999979e-01
2.043641000000000041e+00,-1.246659999999999990e-01
2.065919000000000061e+00,-1.063550000000000051e-01
2.052490999999999843e+00,-1.570149999999999879e-01
2.052795999999999843e+00,-1.329059999999999964e-01
2.041809999999999903e+00,-1.292439999999999978e-01
2.072633000000000170e+00,-1.454179999999999917e-01
2.079651999999999834e+00,-1.542689999999999895e-01
2.062561999999999784e+00,-1.457239999999999924e-01
2.061951999999999785e+00,-1.738000000000000100e-01
2.059814999999999952e+00,-1.582359999999999878e-01
2.064087999999999923e+00,-1.560999999999999888e-01
2.046082000000000178e+00,-1.808190000000000075e-01
2.074768999999999863e+00,-1.579309999999999881e-01
2.047607999999999873e+00,-1.878390000000000060e-01
2.059814999999999952e+00,-2.024870000000000003e-01
2.041199000000000208e+00,-1.896700000000000053e-01
2.058594999999999953e+00,-2.021820000000000006e-01
2.051270000000000149e+00,-1.988250000000000017e-01
2.034790999999999794e+00,-2.217139999999999944e-01
2.049134000000000011e+00,-2.122529999999999972e-01
2.053406999999999982e+00,-2.226289999999999936e-01
2.042724999999999902e+00,-2.253759999999999930e-01
2.047302999999999873e+00,-2.153049999999999964e-01
2.032043999999999961e+00,-2.235449999999999937e-01
2.023499000000000159e+00,-2.479590000000000127e-01
2.008544999999999803e+00,-2.354469999999999896e-01
2.038758000000000070e+00,-2.317849999999999910e-01
2.027160999999999991e+00,-2.204929999999999946e-01
2.019531999999999883e+00,-2.101169999999999982e-01
2.026550999999999991e+00,-2.363619999999999888e-01
2.028687000000000129e+00,-2.211029999999999940e-01
2.042114999999999903e+00,-2.027920000000000000e-01
2.020446999999999882e+00,-1.988250000000000017e-01
2.011902000000000079e+00,-2.040129999999999999e-01
2.015868999999999911e+00,-2.058439999999999992e-01
2.005187999999999970e+00,-1.966890000000000027e-01
2.025634999999999852e+00,-2.070649999999999991e-01
2.000609999999999999e+00,-2.073699999999999988e-01
2.012512000000000079e+00,-2.180509999999999948e-01
1.996947999999999945e+00,-2.207979999999999943e-01
2.008849999999999802e+00,-2.156099999999999961e-01
2.010070999999999941e+00,-2.088959999999999984e-01
2.018616000000000188e+00,-2.204929999999999946e-01
2.013123000000000218e+00,-2.253759999999999930e-01
2.022278000000000020e+00,-2.342259999999999898e-01
2.013733000000000217e+00,-2.381929999999999881e-01
1.987792999999999921e+00,-2.427709999999999868e-01
2.003661999999999832e+00,-2.470440000000000136e-01
2.000000000000000000e+00,-2.250709999999999933e-01
1.990234000000000059e+00,-2.262909999999999922e-01
2.007019000000000108e+00,-2.360569999999999891e-01
2.001526000000000138e+00,-2.516209999999999836e-01
2.018311000000000188e+00,-2.256809999999999927e-01
2.010375999999999941e+00,-2.189669999999999950e-01
