Extracellular,Intracellular_PD1
-8.590799999999999825e-02,-4.077668000000000070e+00
-7.095400000000000318e-02,-4.069734000000000407e+00
-6.881800000000000417e-02,-4.082550999999999597e+00
-6.057799999999999990e-02,-4.046845000000000248e+00
-8.163600000000000023e-02,-4.086212999999999873e+00
-4.287799999999999945e-02,-4.066682000000000130e+00
-3.830000000000000071e-02,-4.083771999999999736e+00
-1.876900000000000096e-02,-4.089570000000000149e+00
-2.975500000000000020e-02,-4.077058000000000071e+00
-1.530000000000000056e-04,-4.051727999999999774e+00
-2.517700000000000146e-02,-4.074005999999999794e+00
-2.914500000000000077e-02,-4.090181000000000289e+00
-1.541200000000000035e-02,-4.087129000000000012e+00
-2.517700000000000146e-02,-4.091096000000000288e+00
-2.304099999999999898e-02,-4.085297999999999874e+00
-2.212599999999999983e-02,-4.082855999999999597e+00
-3.799500000000000099e-02,-4.060577999999999577e+00
-1.510599999999999964e-02,-4.079194000000000209e+00
-1.510599999999999964e-02,-4.093537999999999677e+00
-2.884000000000000105e-02,-4.064850999999999992e+00
-3.814999999999999815e-03,-4.067903000000000269e+00
-1.968400000000000011e-02,-4.107575999999999894e+00
-9.613000000000000017e-03,-4.065460999999999991e+00
-2.456699999999999856e-02,-4.090181000000000289e+00
-2.181999999999999912e-02,-4.071869999999999656e+00
-4.580000000000000195e-04,-4.059662999999999577e+00
-2.639800000000000132e-02,-4.069734000000000407e+00
-1.449600000000000020e-02,-4.085297999999999874e+00
-1.266499999999999918e-02,-4.081330999999999598e+00
-1.937900000000000039e-02,-4.090486000000000288e+00
-1.724300000000000138e-02,-4.072174999999999656e+00
-9.613000000000000017e-03,-4.054780000000000051e+00
-1.449600000000000020e-02,-4.063324999999999854e+00
-1.022400000000000045e-02,-4.066072000000000131e+00
-3.433300000000000241e-02,-4.061493999999999716e+00
-2.822900000000000062e-02,-4.079500000000000348e+00
-4.776099999999999790e-02,-4.055085000000000051e+00
-3.036499999999999963e-02,-4.074921999999999933e+00
-9.308000000000000301e-03,-4.058747000000000327e+00
-1.571699999999999833e-02,-4.060577999999999577e+00
-1.815800000000000053e-02,-4.070954000000000406e+00
-2.395699999999999913e-02,-4.083771999999999736e+00
-2.151499999999999940e-02,-4.066072000000000131e+00
-2.609300000000000161e-02,-4.061188999999999716e+00
-2.120999999999999969e-02,-4.058137000000000327e+00
-1.510599999999999964e-02,-4.074310999999999794e+00
-1.785300000000000081e-02,-4.075836999999999932e+00
-3.616400000000000170e-02,-4.075836999999999932e+00
-2.243099999999999955e-02,-4.064850999999999992e+00
-2.273599999999999927e-02,-4.059662999999999577e+00
-1.022400000000000045e-02,-4.051422999999999774e+00
-2.426199999999999884e-02,-4.023957000000000228e+00
-2.029399999999999954e-02,-4.104218999999999618e+00
-4.623499999999999832e-02,-4.085297999999999874e+00
9.917999999999999733e-03,-4.061188999999999716e+00
4.580000000000000195e-04,-4.059967999999999577e+00
-1.968400000000000011e-02,-4.048066000000000386e+00
-2.578799999999999842e-02,-4.064239999999999853e+00
-2.334599999999999870e-02,-4.047150000000000247e+00
-3.067100000000000035e-02,-4.075836999999999932e+00
-6.866999999999999840e-03,-4.081635999999999598e+00
1.358099999999999932e-02,-4.061493999999999716e+00
1.678000000000000021e-03,-4.045014000000000109e+00
-5.645999999999999977e-03,-4.064850999999999992e+00
-1.083399999999999988e-02,-4.050506999999999636e+00
-3.494300000000000184e-02,-4.093842999999999677e+00
-1.937900000000000039e-02,-4.104218999999999618e+00
-2.029399999999999954e-02,-4.077974000000000210e+00
-2.731400000000000147e-02,-4.075226999999999933e+00
-3.280700000000000283e-02,-4.075226999999999933e+00
1.984000000000000086e-03,-4.053558999999999912e+00
-2.975500000000000020e-02,-4.072174999999999656e+00
-2.609300000000000161e-02,-4.094758999999999816e+00
-3.585900000000000198e-02,-4.074921999999999933e+00
-4.562399999999999789e-02,-4.061493999999999716e+00
-9.308000000000000301e-03,-4.061188999999999716e+00
-3.158600000000000296e-02,-4.083466999999999736e+00
-2.761900000000000119e-02,-4.056916000000000189e+00
-1.297000000000000063e-02,-4.077058000000000071e+00
-6.866999999999999840e-03,-4.072785999999999795e+00
-1.022400000000000045e-02,-4.094758999999999816e+00
-1.327500000000000034e-02,-4.047456000000000387e+00
-4.120000000000000398e-03,-4.050201999999999636e+00
-8.087000000000000438e-03,-4.108797000000000033e+00
-8.392000000000000154e-03,-4.072479999999999656e+00
